source_rank,result_id,agent,agent_creator,model,model_creator,series,effort,source_effort,effort_order,source_display_model,source_display_label,route_provider,host_model_slug,variant_of_result_id,benchmark_version,index_component_count,eval_count,data_scope,coding_agent_score,recomputed_component_mean,score_delta,deep_swe_score,terminal_bench_v2_score,swe_atlas_qna_score,cost_usd_per_task,agent_wall_time_sec,steps_per_task,input_tokens,cache_write_tokens,cache_read_tokens,cache_hit_rate,output_tokens,total_tokens,total_tokens_million,source_url,methodology_url,observed_at_utc,source_sha256
35,d68a924ec12a4f20f77e1c039573fae4,Claude Code,Anthropic,Opus 4.8,Anthropic,Claude Code · Opus 4.8,max,max,100,Opus 4.8 (max),Claude Code - Opus 4.8 (max),anthropic,anthropic_claude-opus-4-8,,Coding Agent Index v1.3,3,3,complete,60.540889366181936,60.540889366181936,0.0,55.752212389380496,79.36507936507931,46.505376344086,7.697531218302191,1387.705426272068,165.77475115872653,8917632.018172378,177301.1183800623,8730314.37019729,0.9652004607913286,88630.7502596054,17913878.257009346,17.913878257009348,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
36,813aef499032948e0484e8b53a5af908,Claude Code,Anthropic,Opus 4.8,Anthropic,Claude Code · Opus 4.8,low,low,30,Opus 4.8 (low),Claude Code - Opus 4.8 (low),anthropic,anthropic_claude-opus-4-8,,Coding Agent Index v1.3,3,3,complete,47.41487643999776,47.41487643999777,1.1102230246251565e-14,41.0029498525074,73.015873015873,28.2258064516129,2.150992245846311,510.35990965732066,67.45327102803738,2572278.14953271,50445.010384216,2520954.397715472,0.9669203962843245,22815.71651090343,5166493.274143302,5.166493274143302,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
37,80b0e1d20402e07949e92ad3d2ce809f,Claude Code,Anthropic,Opus 4.7,Anthropic,Claude Code · Opus 4.7,medium,medium,50,Opus 4.7 (medium),Claude Code - Opus 4.7 (medium),anthropic,anthropic_claude-opus-4-7,,Coding Agent Index v1.3,3,3,complete,40.480948302815264,40.480948302815264,5.551115123125783e-15,27.433628318584102,71.4285714285714,22.5806451612903,1.6798828591381119,379.60947871235743,41.51401869158878,2279493.303219107,53446.69781931464,2224627.282450675,0.9580937736660126,16673.295950155763,4574240.579439253,4.574240579439253,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
38,7370adbe8d1abc2dc2c0b4d7e158c95a,Claude Code,Anthropic,Opus 4.7,Anthropic,Claude Code · Opus 4.7,max,max,100,Opus 4.7 (max),Claude Code - Opus 4.7 (max),anthropic,anthropic_claude-opus-4-7,,Coding Agent Index v1.3,3,3,complete,50.341430701122405,50.341430701122405,0.0,40.117994100295,73.8095238095238,37.0967741935484,5.632379174870202,939.502699896159,107.37266198751394,7948862.858774664,128126.91277258567,7818312.543094512,0.9688281108915565,46068.256490135,15941370.571131865,15.941370571131865,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
39,a2fd26aa83bc9f3cb60d3031483143e4,Claude Code,Anthropic,Opus 4.6,Anthropic,Claude Code · Opus 4.6,medium,medium,50,Opus 4.6 (medium),Claude Code - Opus 4.6 (medium),anthropic,anthropic_claude-opus-4-6,,Coding Agent Index v1.3,3,2,partial,46.4733742959549,46.4733742959549,0.0,,70.63492063492059,22.311827956989198,1.2777181349358966,479.6315032051282,34.017628205128204,2234510.020833333,112211.91025641026,2110647.6810897463,0.9356663400252263,19008.3141025641,4476377.926282057,4.476377926282057,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
40,42d261a806e9a96a4769ed568662ad9c,Claude Code,Anthropic,Opus 5,Anthropic,Claude Code · Opus 5,max,max,100,Opus 5 (max),Claude Code - Opus 5 (max),anthropic,anthropic_claude-hotteok-eap-rerun-2,,Coding Agent Index v1.3,3,3,complete,65.5251281214741,65.5251281214741,0.0,63.1268436578171,84.5238095238095,48.924731182795696,8.949660113613344,1423.987122533748,166.05192107995848,11907546.295950154,170341.17237798544,11732777.460020775,0.9751945388091107,80473.32398753894,23891138.252336435,23.891138252336436,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
41,ea0254c474b2e8732fc10c03d4a48fc5,Claude Code,Anthropic,Opus 5,Anthropic,Claude Code · Opus 5,medium,medium,50,Opus 5 (medium),Claude Code - Opus 5 (medium),anthropic,anthropic_claude-hotteok-eap,,Coding Agent Index v1.3,3,3,complete,61.9193752293952,61.9193752293952,0.0,62.8318584070796,78.5714285714286,44.3548387096774,3.1436240575635903,731.4867113187952,82.88161993769471,3953916.855659398,72596.03219106956,3880763.489096573,0.9698419378452725,29631.97507788162,7936908.352024915,7.936908352024915,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
42,8bfafe73ed9f5ba879a4d69c45f0a561,Claude Code,Anthropic,Opus 5,Anthropic,Claude Code · Opus 5,high,high,70,Opus 5 (high),Claude Code - Opus 5 (high),anthropic,anthropic_claude-hotteok-eap,,Coding Agent Index v1.3,3,3,complete,63.3730800659148,63.3730800659148,0.0,60.7669616519174,80.1587301587302,49.193548387096804,3.7974520290226352,802.3227175493257,92.57943925233644,4832263.274143302,84881.28868120458,4746534.547248182,0.9705539911977019,35446.92419522326,9699126.03426792,9.69912603426792,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
43,26d25771e569cecb6c0e71f01f9c9d52,Claude Code,Anthropic,Opus 5,Anthropic,Claude Code · Opus 5,low,low,30,Opus 5 (low),Claude Code - Opus 5 (low),anthropic,anthropic_claude-horchata-eap,,Coding Agent Index v1.3,3,3,complete,56.79527147554554,56.795271475545526,1.1102230246251565e-14,56.9321533923304,74.2063492063492,39.247311827957,2.1784609327668933,569.2926957424716,63.82035306334372,2568845.1568016615,58265.52232606438,2510220.2128764284,0.9651799235877216,22280.823468328144,5159611.715472481,5.159611715472481,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
44,974cebe81f518efb3500cd5c3dec40db,Codex,OpenAI,GPT-5.6 Luna,OpenAI,Codex · GPT-5.6 Luna,medium,medium,50,GPT-5.6 Luna (medium),Codex - GPT-5.6 Luna (medium),openai,openai_opal-alpha,,Coding Agent Index v1.3,3,3,complete,42.406924072639164,42.40692407263917,5.551115123125783e-15,36.5781710914454,63.4920634920635,27.1505376344086,0.47389570332294917,202.33462357217016,57.70664589823469,2273503.6765316715,,2100884.535825545,0.8790442337991295,15198.018172377984,4389586.230529595,4.389586230529595,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
45,fff8003f7371e277c3d03ae35da2c6d8,Codex,OpenAI,GPT-5.6 Luna,OpenAI,Codex · GPT-5.6 Luna,non-reasoning,none,0,GPT-5.6 Luna (none),Codex - GPT-5.6 Luna (none),openai,openai_opal-alpha,,Coding Agent Index v1.3,3,3,complete,20.4214603657938,20.4214603657938,0.0,6.48967551622419,37.301587301587304,17.4731182795699,0.35196185919003126,149.6666500519211,55.753894080996886,1845653.5514018692,,1712566.795430946,0.8759353440404793,7936.403946002077,3566156.750778817,3.566156750778817,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
46,d9387ca3714ad21eedec54b43e642808,Codex,OpenAI,GPT-5.6 Luna,OpenAI,Codex · GPT-5.6 Luna,xhigh,xhigh,90,GPT-5.6 Luna (xhigh),Codex - GPT-5.6 Luna (xhigh),openai,openai_opal-alpha,,Coding Agent Index v1.3,3,3,complete,54.67014667699793,54.67014667699793,0.0,56.637168141592895,76.1904761904762,31.182795698924696,1.2563853698857719,395.3811438213918,95.67082035306333,6321539.082035306,,5942041.320872273,0.9038771090331951,47113.91277258567,12310694.31568016,12.31069431568016,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
47,035d914082b1b38784c0045e536b98b2,Cursor CLI,Cursor,Opus 4.7,Anthropic,Cursor CLI · Opus 4.7,medium,medium,50,Opus 4.7 (medium),Cursor CLI - Opus 4.7 (medium),cursor,anthropic_claude-opus-4-7,,Coding Agent Index v1.3,3,3,complete,45.35643673525487,45.35643673525486,5.551115123125783e-15,31.5634218289085,70.63492063492059,33.8709677419355,2.679868428478713,816.8511308411215,86.22429906542055,2819479.70768432,76891.51508839094,2745220.0027649538,0.9587115489120713,17781.974364748716,5656580.071651096,5.6565800716510966,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
48,bf97dfc3706094efa86346ab44148c24,Cursor CLI,Cursor,Composer 2,Cursor,Cursor CLI · Composer 2,default,default,20,Composer 2,Cursor CLI - Composer 2,cursor,cursor_composer-2,,Coding Agent Index v1.3,3,3,complete,27.47482505547023,27.47482505547023,0.0,0.0,64.6825396825397,17.741935483871,0.04363878773584906,514.0380707547172,27.71933962264151,1476106.496855346,44702.286949685535,1419614.613207548,0.9258076669882521,14007.270440251574,2954430.6674528313,2.954430667452831,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
49,f14654632db8da036e7b895826b153be,Cursor CLI,Cursor,Composer 2.5,Cursor,Cursor CLI · Composer 2.5,default,default,20,Composer 2.5,Cursor CLI - Composer 2.5,cursor,cursor_composer-2-5,,Coding Agent Index v1.3,3,3,complete,38.19077223302173,38.19077223302173,5.551115123125783e-15,15.929203539823,67.46031746031746,31.18279569892475,0.0822332840083074,572.8118920041536,116.6246105919003,1815575.8857736243,0.0,1747518.6991329798,0.9385926106784791,17531.265835929386,3577610.0197300087,3.5776100197300087,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
50,a3f42e327ef2fe1005a802b8ece1508c,Cursor CLI,Cursor,GPT-5.4,OpenAI,Cursor CLI · GPT-5.4,medium,medium,50,GPT-5.4 (medium),Cursor CLI - GPT-5.4 (medium),cursor,openai_gpt-5-4,,Coding Agent Index v1.3,3,3,complete,36.78955453149003,36.78955453149004,5.551115123125783e-15,16.6666666666667,65.4761904761905,28.2258064516129,1.5458576141690654,485.1382227138637,25.797013274336283,2130573.934934428,0.0,1873661.4808970399,0.8546195299671939,15466.307060098801,4019701.7228915687,4.019701722891568,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
51,fde29aa5fa95185453aeac4047640bb4,Cursor CLI,Cursor,GPT-5.5,OpenAI,Cursor CLI · GPT-5.5,medium,medium,50,GPT-5.5 (medium),Cursor CLI - GPT-5.5 (medium),cursor,openai_gpt-5-5-medium,,Coding Agent Index v1.3,3,3,complete,46.0896706828765,46.0896706828765,0.0,37.1681415929203,73.41269841269839,27.688172043010802,2.0149947633091063,398.80334683281404,78.00899965385948,2061667.0061613016,0.0,1916592.1960539988,0.8903605029888495,11044.15382485289,3989303.3560401546,3.9893033560401547,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
52,2e32129453e700bab0595b30fe01080d,Opencode,Opencode,Opus 4.7,Anthropic,Opencode · Opus 4.7,medium,medium,50,Opus 4.7 (medium),Opencode - Opus 4.7 (medium),anthropic,anthropic_claude-opus-4-7,,Coding Agent Index v1.3,3,3,complete,49.95702851826177,49.957028518261765,5.551115123125783e-15,39.5280235988201,75.39682539682539,34.9462365591398,2.931244858904465,729.1267268951185,54.2232606438214,3734059.8686396675,67228.01194184838,3734000.8198338505,0.9607360623457696,25750.96521287643,7561039.665628259,7.561039665628259,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
