source_rank,result_id,agent,agent_creator,model,model_creator,series,effort,source_effort,effort_order,source_display_model,source_display_label,route_provider,host_model_slug,variant_of_result_id,benchmark_version,index_component_count,eval_count,data_scope,coding_agent_score,recomputed_component_mean,score_delta,deep_swe_score,terminal_bench_v2_score,swe_atlas_qna_score,cost_usd_per_task,agent_wall_time_sec,steps_per_task,input_tokens,cache_write_tokens,cache_read_tokens,cache_hit_rate,output_tokens,total_tokens,total_tokens_million,source_url,methodology_url,observed_at_utc,source_sha256
15,dcf761a88f0352d89d465842058eae7f,Codex,OpenAI,GPT-5.6 Terra,OpenAI,Codex · GPT-5.6 Terra,non-reasoning,none,0,GPT-5.6 Terra (none),Codex - GPT-5.6 Terra (none),openai,openai_nova-alpha,,Coding Agent Index v1.3,3,3,complete,23.702812555224767,23.702812555224764,2.7755575615628914e-15,13.2743362831858,39.2857142857143,18.5483870967742,0.3699857113187957,107.57151921079952,34.33021806853583,587768.6957424714,,523110.61266874336,0.8525667301504498,5170.856697819315,1116050.1651090332,1.1160501651090333,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
16,e91dcbef0e79f85fe720f445e2c0d62b,Codex,OpenAI,GPT-5.6 Terra,OpenAI,Codex · GPT-5.6 Terra,medium,medium,50,GPT-5.6 Terra (medium),Codex - GPT-5.6 Terra (medium),openai,openai_nova-alpha,,Coding Agent Index v1.3,3,3,complete,47.797654920121374,47.79765492012136,1.1102230246251565e-14,45.722713864306805,69.4444444444444,28.2258064516129,0.9012260285565961,256.3856874350987,51.09657320872274,1614395.51298027,,1499909.9813084104,0.8930790140990882,16002.313603322948,3130307.8078920064,3.1303078078920064,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
17,bf63573db2966abb8e5df6aeb89d4a7a,Codex,OpenAI,GPT-5.6 Terra,OpenAI,Codex · GPT-5.6 Terra,max,max,100,GPT-5.6 Terra (max),Codex - GPT-5.6 Terra (max),openai,openai_nova-alpha,,Coding Agent Index v1.3,3,3,complete,62.28044140547706,62.28044140547707,1.1102230246251565e-14,66.9616519174041,84.1269841269841,35.752688172043,2.757234841121493,502.37997507788185,96.90654205607477,4843755.264797507,,4561390.454828656,0.9144888080773073,60731.68016614745,9465877.399792325,9.465877399792324,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
18,79052b21ab96ed4426e9377815883ab3,Codex,OpenAI,GPT-5.6 Terra,OpenAI,Codex · GPT-5.6 Terra,low,low,30,GPT-5.6 Terra (low),Codex - GPT-5.6 Terra (low),openai,openai_nova-alpha,,Coding Agent Index v1.3,3,3,complete,36.72755174325257,36.72755174325257,0.0,29.7935103244838,57.5396825396825,22.8494623655914,0.4843241962616821,167.002074766355,37.019730010384215,797365.862928349,,724394.0020768432,0.8767649828270169,8053.069574247144,1529812.9345794395,1.5298129345794396,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
19,9eefaf7d0286faacafa2ce3ac31554b5,Codex,OpenAI,GPT-5.6 Terra,OpenAI,Codex · GPT-5.6 Terra,high,high,70,GPT-5.6 Terra (high),Codex - GPT-5.6 Terra (high),openai,openai_nova-alpha,,Coding Agent Index v1.3,3,3,complete,55.79267279595571,55.7926727959557,1.1102230246251565e-14,60.47197640117991,75.9920634920635,30.913978494623702,1.5897404480789192,370.78227777777795,67.16718587746625,2843914.8826583596,,2664434.5752855674,0.9028648691136055,31662.069055036343,5540011.526998961,5.540011526998962,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
20,c2e237678933a2d30d1b1dd67ee5fcf0,Codex,OpenAI,GPT-5.6 Sol,OpenAI,Codex · GPT-5.6 Sol,xhigh,xhigh,90,GPT-5.6 Sol (xhigh),Codex - GPT-5.6 Sol (xhigh),openai,openai_kindle-alpha-api,,Coding Agent Index v1.3,3,3,complete,65.09235470126134,65.09235470126133,1.1102230246251565e-14,66.9616519174041,86.1111111111111,42.2043010752688,5.235289045690547,443.6217289719623,95.75389408099689,5120783.047767393,,4781614.65420561,0.9062406728046599,38287.991692627205,9940685.693665663,9.940685693665662,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
21,ca0febbf860836b7c57f19c09c1d7a71,Codex,OpenAI,GPT-5.6 Sol,OpenAI,Codex · GPT-5.6 Sol,non-reasoning,none,0,GPT-5.6 Sol (none),Codex - GPT-5.6 Sol (none),openai,openai_kindle-alpha-api,,Coding Agent Index v1.3,3,3,complete,43.41743358300597,43.417433583005966,5.551115123125783e-15,35.3982300884956,60.7142857142857,34.1397849462366,1.3982889177050875,206.26470976116292,55.2398753894081,1737376.7123572172,,1670776.085669783,0.8899709439959856,7663.258047767394,3415816.0560747664,3.4158160560747666,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
22,4d38b83159b6641b65f68fe0c6fd31ab,Codex,OpenAI,GPT-5.6 Sol,OpenAI,Codex · GPT-5.6 Sol,medium,medium,50,GPT-5.6 Sol (medium),Codex - GPT-5.6 Sol (medium),openai,openai_kindle-alpha-api,,Coding Agent Index v1.3,3,3,complete,60.6144468762225,60.6144468762225,0.0,64.0117994100295,77.7777777777778,40.0537634408602,2.9913424496365533,310.17845482866045,72.40290758047767,3001125.8805815163,,2797277.308411216,0.8947901092803895,19115.364485981307,5817518.5534787085,5.817518553478709,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
23,2af2980f73a1fe4233cf3caab394573c,Codex,OpenAI,GPT-5.6 Sol,OpenAI,Codex · GPT-5.6 Sol,low,low,30,GPT-5.6 Sol (low),Codex - GPT-5.6 Sol (low),openai,openai_kindle-alpha-api,,Coding Agent Index v1.3,3,3,complete,53.605601849963804,53.605601849963804,0.0,53.392330383480804,73.015873015873,34.4086021505376,1.7175155051921107,221.85372326064396,54.031671858774665,1641547.0711318797,,1513072.1163032202,0.8835569416228126,10620.155763239876,3165239.343198341,3.165239343198341,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
24,c8b8aff9f05b372655e2c62efe4b27d0,Codex,OpenAI,GPT-5.6 Sol,OpenAI,Codex · GPT-5.6 Sol,high,high,70,GPT-5.6 Sol (high),Codex - GPT-5.6 Sol (high),openai,openai_kindle-alpha-api,,Coding Agent Index v1.3,3,3,complete,64.10963694006797,64.10963694006797,0.0,64.8967551622419,82.5396825396825,44.892473118279504,4.144239101765319,379.28783800623074,85.85773624091382,4163501.589823468,,3893165.8566978187,0.9023493828042558,28199.250259605396,8084866.6967809,8.0848666967809,https://artificialanalysis.ai/agents/coding-agents,https://artificialanalysis.ai/methodology/coding-agents-benchmarking,2026-07-31T14:19:47Z,97ace46aae5a6252884567b45b1818934834dcc3ec8bedfc692ba6369f05894c
